Data,Post,Curtidas,Comentários,Alcance
10:04:2023 14:48,https://scontent-iad3-1.cdninstagram.com/v/t51.29350-15/340854628_717712720133398_7814719981674567037_n.webp?stp=dst-jpg&_nc_cat=109&ccb=1-7&_nc_sid=8ae9d6&_nc_eui2=AeGUG57DGQRW89rJkoJVkyebHN7CRPux1oEc3sJE-7HWgXKRFw6in71V2tIp-18YZNA_98hYfQs4xHpSaGiV0k-N&_nc_ohc=RHVxYA2mIk8AX-2toOT&_nc_ht=scontent-iad3-1.cdninstagram.com&edm=AM6HXa8EAAAA&oh=00_AfBwJMHGzRgLODUtuDRPjaYR5CVZan5q9r0jeU-Qe0Ipsg&oe=64C327AF,26,7,811
07:04:2023 15:14,,45,2,1303
06:04:2023 12:23,https://scontent-iad3-2.cdninstagram.com/v/t51.29350-15/339537845_776676046970811_5820907316890532335_n.webp?stp=dst-jpg&_nc_cat=103&ccb=1-7&_nc_sid=8ae9d6&_nc_eui2=AeEO0Sm3mqV2gs-DeESal3Qr5B2fiPcg1NnkHZ-I9yDU2XHEmC9lDQP0itFAKt9Z7dnnFYpXEEy_EAbX1LI0ebG5&_nc_ohc=5JEeh8yDEj0AX-Oz99E&_nc_ht=scontent-iad3-2.cdninstagram.com&edm=AM6HXa8EAAAA&oh=00_AfCNZxmOiKcdauwuQCpJ2OgXH6OzFUNl8-Ae7fySSfx0yQ&oe=64C45C43,53,3,895
03:04:2023 13:30,https://scontent-iad3-1.cdninstagram.com/v/t51.29350-15/339186500_941907156845436_3783546086862412769_n.webp?stp=dst-jpg&_nc_cat=104&ccb=1-7&_nc_sid=8ae9d6&_nc_eui2=AeEY1zKvujDnGSkrQOfa-V_mR8FQn44HI1RHwVCfjgcjVMTlIcX_8R3mPNXOJFr6830ZpnecL9LHmJSukkPuZXLR&_nc_ohc=RtuKrfikYAUAX95s8Cc&_nc_ht=scontent-iad3-1.cdninstagram.com&edm=AM6HXa8EAAAA&oh=00_AfCD_l2UlblKJnjIygIZBxXVBaWJb1pJZIqpMZ1E7P2Gsg&oe=64C44348,41,6,995
20:03:2023 13:07,https://scontent-iad3-2.cdninstagram.com/v/t51.29350-15/337079675_541181694821617_924218077816285788_n.webp?stp=dst-jpg&_nc_cat=106&ccb=1-7&_nc_sid=8ae9d6&_nc_eui2=AeE7TZNIockjjmOzTj0HYRkUzqTRu40SsmnOpNG7jRKyafFnkbHTWzIotEzDce0iwRxpGbqnB-gPBYvhVdCbvkWU&_nc_ohc=cdaPNvIAb70AX9cIKNE&_nc_ht=scontent-iad3-2.cdninstagram.com&edm=AM6HXa8EAAAA&oh=00_AfBMhX5uTQq46xIcD8PogqOJTerPN0JNrOOC2s5nYqPxEQ&oe=64C483D8,39,1,807
24:02:2023 18:08,https://scontent-iad3-2.cdninstagram.com/v/t51.29350-15/332836104_142947008646788_504173518091944231_n.webp?stp=dst-jpg&_nc_cat=103&ccb=1-7&_nc_sid=8ae9d6&_nc_eui2=AeH9elctICdNi1a_r86LVERfecAGrhE1I8R5wAauETUjxKhdOw410kywxxov8YwfVn2D247QzOXO8MTNzPVyxQA2&_nc_ohc=v0Gvy-3zm80AX_OkaS-&_nc_ht=scontent-iad3-2.cdninstagram.com&edm=AM6HXa8EAAAA&oh=00_AfALpk-vNP-rB8-8TN_SZoekR_YQMw2-lRrGDwJjOmkZDA&oe=64C4127F,26,1,717
21:02:2023 13:38,https://scontent-iad3-1.cdninstagram.com/v/t51.29350-15/332289511_566620012069161_6546115892020817175_n.webp?stp=dst-jpg&_nc_cat=102&ccb=1-7&_nc_sid=8ae9d6&_nc_eui2=AeEqPyMUwFE2ZDPFNPKdRyTB4ica9esL_FniJxr16wv8WbyldVWggFqMdhtwD_aBBfSEDVdovbTUGEmgwv1fnE1o&_nc_ohc=iza2n-TyQTIAX-D5_96&_nc_ht=scontent-iad3-1.cdninstagram.com&edm=AM6HXa8EAAAA&oh=00_AfCAcp3_Ai-sXUeycKiejvpiO4zYtDnB3sZRrY-tPZO2sw&oe=64C3F4A3,52,3,638
16:02:2023 09:38,,33,4,1446
14:02:2023 14:22,https://scontent-iad3-1.cdninstagram.com/v/t51.29350-15/330700419_3538626179707274_5385151659157550551_n.webp?stp=dst-jpg&_nc_cat=110&ccb=1-7&_nc_sid=8ae9d6&_nc_eui2=AeF56If9DLbDVkDAvC3pLKMXUVPVyy7gXQ9RU9XLLuBdDxVtBiHua0nZZT-QazFlIQWz8wOruTMaIgZ2M1rxmRgg&_nc_ohc=wkdPtHJQ_m0AX-1YcO8&_nc_ht=scontent-iad3-1.cdninstagram.com&edm=AM6HXa8EAAAA&oh=00_AfBrzUEu9-95dUbvuvfVeaXKZ6Cay2SH3iJTb0lyucIZ7Q&oe=64C37C72,62,5,966
09:02:2023 14:49,https://scontent-iad3-1.cdninstagram.com/v/t51.29350-15/329603505_749299919769865_2444356346224560834_n.webp?stp=dst-jpg&_nc_cat=108&ccb=1-7&_nc_sid=8ae9d6&_nc_eui2=AeG26jZfhnlDGDzI66AJhOksdEZHLOze8QN0Rkcs7N7xA-jm3uKJeKITiQtvGFZq8-oVVQp4yVo4SZGmMuWkpSPv&_nc_ohc=FiUpEuvmsrQAX8dlqj1&_nc_ht=scontent-iad3-1.cdninstagram.com&edm=AM6HXa8EAAAA&oh=00_AfBQUzK_GAvgkQImfTp2OWTfMXffjQzJNpPT9SMWUx3JTg&oe=64C497C3,61,5,893
